timestamp,open,high,low,close,volume
2026-01-01T09:15:00,21700.00,21750.00,21680.00,21720.00,120000
2026-01-02T09:15:00,21725.00,21800.00,21710.00,21780.00,135000
2026-01-05T09:15:00,21790.00,21850.00,21750.00,21820.00,140000
2026-01-06T09:15:00,21830.00,21900.00,21800.00,21890.00,150000
2026-01-07T09:15:00,21900.00,21950.00,21850.00,21910.00,130000
2026-01-08T09:15:00,21920.00,22000.00,21900.00,21980.00,160000
2026-01-09T09:15:00,22000.00,22050.00,21950.00,22020.00,145000
2026-01-12T09:15:00,22030.00,22100.00,22010.00,22080.00,155000
2026-01-13T09:15:00,22090.00,22120.00,22040.00,22060.00,125000
2026-01-14T09:15:00,22050.00,22080.00,21980.00,22000.00,130000
2026-01-15T09:15:00,21990.00,22020.00,21920.00,21940.00,140000
2026-01-16T09:15:00,21930.00,21960.00,21850.00,21880.00,135000
2026-01-19T09:15:00,21870.00,21900.00,21810.00,21830.00,128000
2026-01-20T09:15:00,21820.00,21850.00,21750.00,21790.00,132000
2026-01-21T09:15:00,21780.00,21820.00,21720.00,21750.00,120000
2026-01-22T09:15:00,21760.00,21810.00,21740.00,21790.00,122000
2026-01-23T09:15:00,21800.00,21860.00,21780.00,21850.00,129000
2026-01-26T09:15:00,21860.00,21920.00,21840.00,21910.00,138000
2026-01-27T09:15:00,21920.00,22000.00,21900.00,21990.00,145000
2026-01-28T09:15:00,22000.00,22080.00,21980.00,22060.00,152000
2026-01-29T09:15:00,22070.00,22150.00,22050.00,22130.00,160000
2026-01-30T09:15:00,22140.00,22200.00,22100.00,22180.00,158000
